x/c,y/c
1,0.0018
0.9682999999999999,0.006
0.93631,0.01052
0.90409,0.01564
0.87082,0.02096
0.83623,0.02644
0.80002,0.032
0.76185,0.03758
0.72232,0.04295999999999999
0.6827600000000001,0.047869999999999996
0.64378,0.0522
0.60547,0.05593
0.56746,0.05909
0.52949,0.0617
0.49148,0.06376
0.45336,0.06528
0.41524,0.06627
0.37729999999999997,0.0667
0.34,0.0666
0.3034,0.066
0.26807,0.06474
0.225,0.062254205206738134
0.2125,0.06133154058192956
0.17023,0.05748
0.1408,0.0538
0.1131,0.049400000000000006
0.0872,0.0444
0.0635,0.0385
0.0421,0.0319
0.02403,0.024619999999999996
0.01093,0.017
0.0031,0.00906
0,0
0,0
0.0031,-0.0076500000000000005
0.01093,-0.0123
0.02403,-0.01619
0.0421,-0.0195
0.0635,-0.022000000000000002
0.0872,-0.024
0.1131,-0.0256
0.1408,-0.027000000000000003
0.17023,-0.02817
0.2125,-0.02956066156202144
0.225,-0.02993202450229709
0.26807,-0.03107
0.3034,-0.0318
0.34,-0.0325
0.37729999999999997,-0.033
0.41524,-0.03337
0.45336,-0.03357
0.49148,-0.0336
0.52949,-0.03346
0.56746,-0.03313
0.60547,-0.0326
0.64378,-0.03184
0.6827600000000001,-0.03079
0.72232,-0.02939
0.76185,-0.02758
0.80002,-0.02536
0.83623,-0.022720000000000004
0.87082,-0.01959
0.90409,-0.01594
0.93631,-0.01171
0.9682999999999999,-0.0063
1,-0.0002
