Station,r/R,X_in,Y_in,Z_in
1,0.000000,3.51287728,0.02834646,0.00000000
1,0.000000,3.35780096,0.04970079,0.00000000
1,0.000000,3.20160967,0.07388976,0.00000000
1,0.000000,3.04032835,0.09902362,0.00000000
1,0.000000,2.87264813,0.12491339,0.00000000
1,0.000000,2.69711472,0.15118110,0.00000000
1,0.000000,2.51207991,0.17754331,0.00000000
1,0.000000,2.32045230,0.20296063,0.00000000
1,0.000000,2.12867926,0.22615748,0.00000000
1,0.000000,1.93971786,0.24661417,0.00000000
1,0.000000,1.75400438,0.26423622,0.00000000
1,0.000000,1.56974520,0.27916535,0.00000000
1,0.000000,1.38567992,0.29149606,0.00000000
1,0.000000,1.20142074,0.30122835,0.00000000
1,0.000000,1.01662831,0.30840945,0.00000000
1,0.000000,0.83183589,0.31308661,0.00000000
1,0.000000,0.64791604,0.31511811,0.00000000
1,0.000000,0.46709869,0.31464567,0.00000000
1,0.000000,0.28967470,0.31181102,0.00000000
1,0.000000,0.11840722,0.30585827,0.00000000
1,0.000000,-0.09038108,0.29411436,0.00000000
1,0.000000,-0.15097670,0.28975531,0.00000000
1,0.000000,-0.35588688,0.27155906,0.00000000
1,0.000000,-0.49855322,0.25417323,0.00000000
1,0.000000,-0.63283313,0.23338583,0.00000000
1,0.000000,-0.75838727,0.20976378,0.00000000
1,0.000000,-0.87327658,0.18188976,0.00000000
1,0.000000,-0.97701629,0.15070866,0.00000000
1,0.000000,-1.06461333,0.11631496,0.00000000
1,0.000000,-1.12811755,0.08031496,0.00000000
1,0.000000,-1.16607465,0.04280315,0.00000000
1,0.000000,-1.18110236,0.00000000,0.00000000
1,0.000000,-1.18110236,0.00000000,0.00000000
1,0.000000,-1.16607465,-0.03614173,0.00000000
1,0.000000,-1.12811755,-0.05811024,0.00000000
1,0.000000,-1.06461333,-0.07648819,0.00000000
1,0.000000,-0.97701629,-0.09212598,0.00000000
1,0.000000,-0.87327658,-0.10393701,0.00000000
1,0.000000,-0.75838727,-0.11338583,0.00000000
1,0.000000,-0.63283313,-0.12094488,0.00000000
1,0.000000,-0.49855322,-0.12755906,0.00000000
1,0.000000,-0.35588688,-0.13308661,0.00000000
1,0.000000,-0.15097670,-0.13965667,0.00000000
1,0.000000,-0.09038108,-0.14141114,0.00000000
1,0.000000,0.11840722,-0.14678740,0.00000000
1,0.000000,0.28967470,-0.15023622,0.00000000
1,0.000000,0.46709869,-0.15354331,0.00000000
1,0.000000,0.64791604,-0.15590551,0.00000000
1,0.000000,0.83183589,-0.15765354,0.00000000
1,0.000000,1.01662831,-0.15859843,0.00000000
1,0.000000,1.20142074,-0.15874016,0.00000000
1,0.000000,1.38567992,-0.15807874,0.00000000
1,0.000000,1.56974520,-0.15651969,0.00000000
1,0.000000,1.75400438,-0.15401575,0.00000000
1,0.000000,1.93971786,-0.15042520,0.00000000
1,0.000000,2.12867926,-0.14546457,0.00000000
1,0.000000,2.32045230,-0.13885039,0.00000000
1,0.000000,2.51207991,-0.13029921,0.00000000
1,0.000000,2.69711472,-0.11981102,0.00000000
1,0.000000,2.87264813,-0.10733858,0.00000000
1,0.000000,3.04032835,-0.09255118,0.00000000
1,0.000000,3.20160967,-0.07530709,0.00000000
1,0.000000,3.35780096,-0.05532283,0.00000000
1,0.000000,3.51287728,-0.02976378,0.00000000
2,0.142857,3.35242937,-0.05659935,5.62429696
2,0.142857,3.20505273,-0.03258022,5.62429696
2,0.142857,3.05668015,-0.00583576,5.62429696
2,0.142857,2.90347606,0.02192936,5.62429696
2,0.142857,2.74418780,0.05056635,5.62429696
2,0.142857,2.57741957,0.07974994,5.62429696
2,0.142857,2.40159288,0.10924945,5.62429696
2,0.142857,2.21945673,0.13800614,5.62429696
2,0.142857,2.03712918,0.16465221,5.62429696
2,0.142857,1.85741779,0.18862256,5.62429696
2,0.142857,1.68073638,0.20981684,5.62429696
2,0.142857,1.50537788,0.22841265,5.62429696
2,0.142857,1.33014259,0.24452993,5.62429696
2,0.142857,1.15466069,0.25817790,5.62429696
2,0.142857,0.97860971,0.26940960,5.62429696
2,0.142857,0.80249928,0.27825735,5.62429696
2,0.142857,0.62715813,0.28456545,5.62429696
2,0.142857,0.45471614,0.28841580,5.62429696
2,0.142857,0.28545402,0.28993643,5.62429696
2,0.142857,0.12198883,0.28834194,5.62429696
2,0.142857,-0.07739440,0.28212610,5.62429696
2,0.142857,-0.13528301,0.27941698,5.62429696
2,0.142857,-0.33112120,0.26696573,5.62429696
2,0.142857,-0.46758327,0.25380580,5.62429696
2,0.142857,-0.59612865,0.23720784,5.62429696
2,0.142857,-0.71642028,0.21770355,5.62429696
2,0.142857,-0.82664268,0.19389739,5.62429696
2,0.142857,-0.92631115,0.16667744,5.62429696
2,0.142857,-1.01066194,0.13601493,5.62429696
2,0.142857,-1.07207550,0.10325011,5.62429696
2,0.142857,-1.10916276,0.06843837,5.62429696
2,0.142857,-1.12450977,0.02804352,5.62429696
2,0.142857,-1.12450977,0.02804352,5.62429696
2,0.142857,-1.11103719,-0.00672386,5.62429696
2,0.142857,-1.07536220,-0.02854243,5.62429696
2,0.142857,-1.01523976,-0.04755004,5.62429696
2,0.142857,-0.93207690,-0.06452177,5.62429696
2,0.142857,-0.83342922,-0.07823398,5.62429696
2,0.142857,-0.72409299,-0.08996232,5.62429696
2,0.142857,-0.60454171,-0.10014509,5.62429696
2,0.142857,-0.47664694,-0.10963575,5.62429696
2,0.142857,-0.34072891,-0.11829132,5.62429696
2,0.142857,-0.14547876,-0.12941969,5.62429696
2,0.142857,-0.08773531,-0.13253117,5.62429696
2,0.142857,0.11124143,-0.14261518,5.62429696
2,0.142857,0.27448339,-0.14997179,5.62429696
2,0.142857,0.44359968,-0.15733987,5.62429696
2,0.142857,0.61597438,-0.16388905,5.62429696
2,0.142857,0.79132225,-0.16992726,5.62429696
2,0.142857,0.96752130,-0.17522156,5.62429696
2,0.142857,1.14373942,-0.17975119,5.62429696
2,0.142857,1.31946810,-0.18350347,5.62429696
2,0.142857,1.49503318,-0.18639651,5.62429696
2,0.142857,1.67080561,-0.18839456,5.62429696
2,0.142857,1.84799068,-0.18939264,5.62429696
2,0.142857,2.02830556,-0.18916354,5.62429696
2,0.142857,2.21134094,-0.18742699,5.62429696
2,0.142857,2.39428362,-0.18384278,5.62429696
2,0.142857,2.57098527,-0.17825758,5.62429696
2,0.142857,2.73867333,-0.17055725,5.62429696
2,0.142857,2.89892740,-0.16046612,5.62429696
2,0.142857,3.05313769,-0.14788383,5.62429696
2,0.142857,3.20255910,-0.13257163,5.62429696
2,0.142857,3.35104963,-0.11192523,5.62429696
3,0.285714,3.19005482,-0.13353030,11.24859393
3,0.285714,3.05040907,-0.10721624,11.24859393
3,0.285714,2.90988022,-0.07829023,11.24859393
3,0.285714,2.76477881,-0.04828006,11.24859393
3,0.285714,2.61390957,-0.01729727,11.24859393
3,0.285714,2.45593682,0.01438243,11.24859393
3,0.285714,2.28935336,0.04657747,11.24859393
3,0.285714,2.11674954,0.07821702,11.24859393
3,0.285714,1.94391371,0.10785665,11.24859393
3,0.285714,1.77350364,0.13489293,11.24859393
3,0.285714,1.60591065,0.15922075,11.24859393
3,0.285714,1.43951484,0.18104934,11.24859393
3,0.285714,1.27317765,0.20052113,11.24859393
3,0.285714,1.10654746,0.21765365,11.24859393
3,0.285714,0.93931872,0.23250497,11.24859393
3,0.285714,0.77197706,0.24509363,11.24859393
3,0.285714,0.60530726,0.25525208,11.24859393
3,0.285714,0.44133758,0.26300749,11.24859393
3,0.285714,0.28033815,0.26847477,11.24859393
3,0.285714,0.12478026,0.27084581,11.24859393
3,0.285714,-0.06505920,0.26968163,11.24859393
3,0.285714,-0.12019827,0.26848470,11.24859393
3,0.285714,-0.30681239,0.26131446,11.24859393
3,0.285714,-0.43695305,0.25205990,11.24859393
3,0.285714,-0.55964308,0.23935204,11.24859393
3,0.285714,-0.67454922,0.22368784,11.24859393
3,0.285714,-0.77997725,0.20369880,11.24859393
3,0.285714,-0.87544501,0.18021681,11.24859393
3,0.285714,-0.95642097,0.15310131,11.24859393
3,0.285714,-1.01562424,0.12344406,11.24859393
3,0.285714,-1.05173195,0.09126462,11.24859393
3,0.285714,-1.06728805,0.05326613,11.24859393
3,0.285714,-1.06728805,0.05326613,11.24859393
3,0.285714,-1.05529226,0.01992709,11.24859393
3,0.285714,-1.02186704,-0.00164210,11.24859393
3,0.285714,-0.96511613,-0.02112279,11.24859393
3,0.285714,-0.88639652,-0.03921761,11.24859393
3,0.285714,-0.79286766,-0.05458491,11.24859393
3,0.285714,-0.68912284,-0.06832217,11.24859393
3,0.285714,-0.57562292,-0.08083437,11.24859393
3,0.285714,-0.45416866,-0.09288760,11.24859393
3,0.285714,-0.32506137,-0.10433843,11.24859393
3,0.285714,-0.13956417,-0.11954794,11.24859393
3,0.285714,-0.08470081,-0.12387541,11.24859393
3,0.285714,0.10436654,-0.13818166,11.24859393
3,0.285714,0.25950044,-0.14904832,11.24859393
3,0.285714,0.42022289,-0.16006549,11.24859393
3,0.285714,0.58406472,-0.17038239,11.24859393
3,0.285714,0.75074731,-0.18028469,11.24859393
3,0.285714,0.91825729,-0.18950073,11.24859393
3,0.285714,1.08580350,-0.19799100,11.24859393
3,0.285714,1.25290243,-0.20573139,11.24859393
3,0.285714,1.41986603,-0.21265187,11.24859393
3,0.285714,1.58704805,-0.21872729,11.24859393
3,0.285714,1.75559770,-0.22388662,11.24859393
3,0.285714,1.92715406,-0.22795487,11.24859393
3,0.285714,2.10133432,-0.23065614,11.24859393
3,0.285714,2.27547007,-0.23160048,11.24859393
3,0.285714,2.44371544,-0.23049614,11.24859393
3,0.285714,2.60343531,-0.22716879,11.24859393
3,0.285714,2.75613904,-0.22139419,11.24859393
3,0.285714,2.90315164,-0.21311006,11.24859393
3,0.285714,3.04567265,-0.20211949,11.24859393
3,0.285714,3.18743413,-0.18604087,11.24859393
4,0.428571,3.02605784,-0.20240659,16.87289089
4,0.428571,2.89416040,-0.17416721,16.87289089
4,0.428571,2.76148638,-0.14343312,16.87289089
4,0.428571,2.62449875,-0.11156360,16.87289089
