Station,r/R,X_in,Y_in,Z_in
1,0.000000,3.51287728,0.02834646,0.00000000
1,0.000000,3.35780096,0.04970079,0.00000000
1,0.000000,3.20160967,0.07388976,0.00000000
1,0.000000,3.04032835,0.09902362,0.00000000
1,0.000000,2.87264813,0.12491339,0.00000000
1,0.000000,2.69711472,0.15118110,0.00000000
1,0.000000,2.51207991,0.17754331,0.00000000
1,0.000000,2.32045230,0.20296063,0.00000000
1,0.000000,2.12867926,0.22615748,0.00000000
1,0.000000,1.93971786,0.24661417,0.00000000
1,0.000000,1.75400438,0.26423622,0.00000000
1,0.000000,1.56974520,0.27916535,0.00000000
1,0.000000,1.38567992,0.29149606,0.00000000
1,0.000000,1.20142074,0.30122835,0.00000000
1,0.000000,1.01662831,0.30840945,0.00000000
1,0.000000,0.83183589,0.31308661,0.00000000
1,0.000000,0.64791604,0.31511811,0.00000000
1,0.000000,0.46709869,0.31464567,0.00000000
1,0.000000,0.28967470,0.31181102,0.00000000
1,0.000000,0.11840722,0.30585827,0.00000000
1,0.000000,-0.09038108,0.29411436,0.00000000
1,0.000000,-0.15000369,0.27879807,0.00000000
1,0.000000,-0.35452417,0.26037681,0.00000000
1,0.000000,-0.49667620,0.24204826,0.00000000
1,0.000000,-0.63015635,0.21915841,0.00000000
1,0.000000,-0.75409669,0.19207917,0.00000000
1,0.000000,-0.86651877,0.15940651,0.00000000
1,0.000000,-0.96599273,0.12263284,0.00000000
1,0.000000,-1.04612606,0.08370331,0.00000000
1,0.000000,-1.09726722,0.04909843,0.00000000
1,0.000000,-1.12060341,0.02683870,0.00000000
1,0.000000,-1.18110236,0.00000000,0.00000000
1,0.000000,-1.13493432,0.01919665,0.00000000
1,0.000000,-1.14193404,0.00556831,0.00000000
1,0.000000,-1.11591692,-0.01595150,0.00000000
1,0.000000,-1.05802526,-0.03958431,0.00000000
1,0.000000,-0.97360427,-0.06215719,0.00000000
1,0.000000,-0.87135227,-0.08053911,0.00000000
1,0.000000,-0.75729365,-0.09522107,0.00000000
1,0.000000,-0.63212090,-0.10648537,0.00000000
1,0.000000,-0.49807820,-0.11529886,0.00000000
1,0.000000,-0.35552587,-0.12182743,0.00000000
1,0.000000,-0.15065834,-0.12866092,0.00000000
1,0.000000,-0.09038108,-0.14141114,0.00000000
1,0.000000,0.11840722,-0.14678740,0.00000000
1,0.000000,0.28967470,-0.15023622,0.00000000
1,0.000000,0.46709869,-0.15354331,0.00000000
1,0.000000,0.64791604,-0.15590551,0.00000000
1,0.000000,0.83183589,-0.15765354,0.00000000
1,0.000000,1.01662831,-0.15859843,0.00000000
1,0.000000,1.20142074,-0.15874016,0.00000000
1,0.000000,1.38567992,-0.15807874,0.00000000
1,0.000000,1.56974520,-0.15651969,0.00000000
1,0.000000,1.75400438,-0.15401575,0.00000000
1,0.000000,1.93971786,-0.15042520,0.00000000
1,0.000000,2.12867926,-0.14546457,0.00000000
1,0.000000,2.32045230,-0.13885039,0.00000000
1,0.000000,2.51207991,-0.13029921,0.00000000
1,0.000000,2.69711472,-0.11981102,0.00000000
1,0.000000,2.87264813,-0.10733858,0.00000000
1,0.000000,3.04032835,-0.09255118,0.00000000
1,0.000000,3.20160967,-0.07530709,0.00000000
1,0.000000,3.35780096,-0.05532283,0.00000000
1,0.000000,3.51287728,-0.02976378,0.00000000
2,0.142857,3.35242937,-0.05659935,5.62429696
2,0.142857,3.20505273,-0.03258022,5.62429696
2,0.142857,3.05668015,-0.00583576,5.62429696
2,0.142857,2.90347606,0.02192936,5.62429696
2,0.142857,2.74418780,0.05056635,5.62429696
2,0.142857,2.57741957,0.07974994,5.62429696
2,0.142857,2.40159288,0.10924945,5.62429696
2,0.142857,2.21945673,0.13800614,5.62429696
2,0.142857,2.03712918,0.16465221,5.62429696
2,0.142857,1.85741779,0.18862256,5.62429696
2,0.142857,1.68073638,0.20981684,5.62429696
2,0.142857,1.50537788,0.22841265,5.62429696
2,0.142857,1.33014259,0.24452993,5.62429696
2,0.142857,1.15466069,0.25817790,5.62429696
2,0.142857,0.97860971,0.26940960,5.62429696
2,0.142857,0.80249928,0.27825735,5.62429696
2,0.142857,0.62715813,0.28456545,5.62429696
2,0.142857,0.45471614,0.28841580,5.62429696
2,0.142857,0.28545402,0.28993643,5.62429696
2,0.142857,0.12198883,0.28834194,5.62429696
2,0.142857,-0.07739440,0.28212610,5.62429696
2,0.142857,-0.13458503,0.26843885,5.62429696
2,0.142857,-0.33004033,0.25575766,5.62429696
2,0.142857,-0.46601364,0.24164951,5.62429696
2,0.142857,-0.59381476,0.22293703,5.62429696
2,0.142857,-0.71258386,0.19994096,5.62429696
2,0.142857,-0.82046473,0.17127622,5.62429696
2,0.142857,-0.91601482,0.13835285,5.62429696
2,0.142857,-0.99302451,0.10295577,5.62429696
2,0.142857,-1.04204510,0.07125674,5.62429696
2,0.142857,-1.06411495,0.05132359,5.62429696
2,0.142857,-1.12450977,0.02804352,5.62429696
2,0.142857,-1.07788779,0.04610983,5.62429696
2,0.142857,-1.08589439,0.03438648,5.62429696
2,0.142857,-1.06213509,0.01329589,5.62429696
2,0.142857,-1.00774742,-0.01083694,5.62429696
2,0.142857,-0.92792756,-0.03467080,5.62429696
2,0.142857,-0.83092816,-0.05491813,5.62429696
2,0.142857,-0.72255076,-0.07185572,5.62429696
2,0.142857,-0.60347183,-0.08572754,5.62429696
2,0.142857,-0.47586795,-0.09740333,5.62429696
2,0.142857,-0.34008818,-0.10704950,5.62429696
2,0.142857,-0.14488688,-0.11843532,5.62429696
2,0.142857,-0.08773531,-0.13253117,5.62429696
2,0.142857,0.11124143,-0.14261518,5.62429696
2,0.142857,0.27448339,-0.14997179,5.62429696
2,0.142857,0.44359968,-0.15733987,5.62429696
2,0.142857,0.61597438,-0.16388905,5.62429696
2,0.142857,0.79132225,-0.16992726,5.62429696
2,0.142857,0.96752130,-0.17522156,5.62429696
2,0.142857,1.14373942,-0.17975119,5.62429696
2,0.142857,1.31946810,-0.18350347,5.62429696
2,0.142857,1.49503318,-0.18639651,5.62429696
2,0.142857,1.67080561,-0.18839456,5.62429696
2,0.142857,1.84799068,-0.18939264,5.62429696
2,0.142857,2.02830556,-0.18916354,5.62429696
2,0.142857,2.21134094,-0.18742699,5.62429696
2,0.142857,2.39428362,-0.18384278,5.62429696
2,0.142857,2.57098527,-0.17825758,5.62429696
2,0.142857,2.73867333,-0.17055725,5.62429696
2,0.142857,2.89892740,-0.16046612,5.62429696
2,0.142857,3.05313769,-0.14788383,5.62429696
2,0.142857,3.20255910,-0.13257163,5.62429696
2,0.142857,3.35104963,-0.11192523,5.62429696
3,0.285714,3.19005482,-0.13353030,11.24859393
3,0.285714,3.05040907,-0.10721624,11.24859393
3,0.285714,2.90988022,-0.07829023,11.24859393
3,0.285714,2.76477881,-0.04828006,11.24859393
3,0.285714,2.61390957,-0.01729727,11.24859393
3,0.285714,2.45593682,0.01438243,11.24859393
3,0.285714,2.28935336,0.04657747,11.24859393
3,0.285714,2.11674954,0.07821702,11.24859393
3,0.285714,1.94391371,0.10785665,11.24859393
3,0.285714,1.77350364,0.13489293,11.24859393
3,0.285714,1.60591065,0.15922075,11.24859393
3,0.285714,1.43951484,0.18104934,11.24859393
3,0.285714,1.27317765,0.20052113,11.24859393
3,0.285714,1.10654746,0.21765365,11.24859393
3,0.285714,0.93931872,0.23250497,11.24859393
3,0.285714,0.77197706,0.24509363,11.24859393
3,0.285714,0.60530726,0.25525208,11.24859393
3,0.285714,0.44133758,0.26300749,11.24859393
3,0.285714,0.28033815,0.26847477,11.24859393
3,0.285714,0.12478026,0.27084581,11.24859393
3,0.285714,-0.06505920,0.26968163,11.24859393
3,0.285714,-0.11977592,0.25749257,11.24859393
3,0.285714,-0.30601406,0.25008811,11.24859393
3,0.285714,-0.43569163,0.23988126,11.24859393
3,0.285714,-0.55769327,0.22504906,11.24859393
3,0.285714,-0.67116936,0.20586144,11.24859393
3,0.285714,-0.77438356,0.18095724,11.24859393
3,0.285714,-0.86588392,0.15166420,11.24859393
3,0.285714,-0.93964748,0.11961723,11.24859393
3,0.285714,-0.98643680,0.09069359,11.24859393
3,0.285714,-1.00713795,0.07300840,11.24859393
3,0.285714,-1.06728805,0.05326613,11.24859393
3,0.285714,-1.02024086,0.07019428,11.24859393
3,0.285714,-1.02916532,0.06041533,11.24859393
3,0.285714,-1.00762401,0.03985051,11.24859393
3,0.285714,-0.95672642,0.01537579,11.24859393
3,0.285714,-0.88151460,-0.00950511,11.24859393
3,0.285714,-0.78979344,-0.03136816,11.24859393
3,0.285714,-0.68713469,-0.05028744,11.24859393
3,0.285714,-0.57419735,-0.06646966,11.24859393
3,0.285714,-0.45308698,-0.08069169,11.24859393
3,0.285714,-0.32414165,-0.09312137,11.24859393
3,0.285714,-0.13869919,-0.10858175,11.24859393
3,0.285714,-0.08470081,-0.12387541,11.24859393
3,0.285714,0.10436654,-0.13818166,11.24859393
3,0.285714,0.25950044,-0.14904832,11.24859393
3,0.285714,0.42022289,-0.16006549,11.24859393
3,0.285714,0.58406472,-0.17038239,11.24859393
3,0.285714,0.75074731,-0.18028469,11.24859393
3,0.285714,0.91825729,-0.18950073,11.24859393
3,0.285714,1.08580350,-0.19799100,11.24859393
3,0.285714,1.25290243,-0.20573139,11.24859393
3,0.285714,1.41986603,-0.21265187,11.24859393
3,0.285714,1.58704805,-0.21872729,11.24859393
3,0.285714,1.75559770,-0.22388662,11.24859393
3,0.285714,1.92715406,-0.22795487,11.24859393
3,0.285714,2.10133432,-0.23065614,11.24859393
3,0.285714,2.27547007,-0.23160048,11.24859393
3,0.285714,2.44371544,-0.23049614,11.24859393
3,0.285714,2.60343531,-0.22716879,11.24859393
3,0.285714,2.75613904,-0.22139419,11.24859393
3,0.285714,2.90315164,-0.21311006,11.24859393
3,0.285714,3.04567265,-0.20211949,11.24859393
3,0.285714,3.18743413,-0.18604087,11.24859393
4,0.428571,3.02605784,-0.20240659,16.87289089
4,0.428571,2.89416040,-0.17416721,16.87289089
4,0.428571,2.76148638,-0.14343312,16.87289089
4,0.428571,2.62449875,-0.11156360,16.87289089
