X_in,Y_in,Z_in
2.25834467,-0.36456210,39.37007874
2.15694531,-0.33030790,39.37007874
2.05225963,-0.29483460,39.37007874
1.94339258,-0.25811229,39.37007874
1.82933019,-0.22021806,39.37007874
1.70894009,-0.18114411,39.37007874
1.58404236,-0.14191499,39.37007874
1.45879056,-0.10412659,39.37007874
1.33509727,-0.06846794,39.37007874
1.21324260,-0.03505241,39.37007874
1.09204639,-0.00357596,39.37007874
0.97067873,0.02617172,39.37007874
0.84888091,0.05423625,39.37007874
0.72643200,0.08068855,39.37007874
0.60369323,0.10549692,39.37007874
0.48123029,0.12846566,39.37007874
0.36054726,0.14942552,39.37007874
0.24185456,0.16843532,39.37007874
0.12690808,0.18467377,39.37007874
-0.01374001,0.20152376,39.37007874
-0.05466969,0.20578991,39.37007874
-0.19347753,0.21794750,39.37007874
-0.29066695,0.22331526,39.37007874
-0.38265532,0.22546324,39.37007874
-0.46915064,0.22472373,39.37007874
-0.54902338,0.21993811,39.37007874
-0.62184075,0.21166969,39.37007874
-0.68426081,0.19939318,39.37007874
-0.73079382,0.18322797,39.37007874
-0.76045864,0.16306501,39.37007874
-0.77543918,0.13673085,39.37007874
-0.77543918,0.13673085,39.37007874
-0.76959773,0.11123466,39.37007874
-0.74681867,0.09234649,39.37007874
-0.70658075,0.07281049,39.37007874
-0.64995262,0.05223940,39.37007874
-0.58211224,0.03228182,39.37007874
-0.50656020,0.01256357,39.37007874
-0.42367457,-0.00716851,39.37007874
-0.33485836,-0.02730668,39.37007874
-0.24032152,-0.04771796,39.37007874
-0.10438076,-0.07613559,39.37007874
-0.06415882,-0.08441549,39.37007874
0.07450735,-0.11250554,39.37007874
0.18836545,-0.13491648,39.37007874
0.30634715,-0.15795857,39.37007874
0.42670203,-0.18077948,39.37007874
0.54919778,-0.20356212,39.37007874
0.67236862,-0.22592010,39.37007874
0.79563244,-0.24775079,39.37007874
0.91863350,-0.26899144,39.37007874
1.04160912,-0.28961996,39.37007874
1.16482347,-0.30965093,39.37007874
1.28913383,-0.32913957,39.37007874
1.41576957,-0.34811077,39.37007874
1.54447246,-0.36632709,39.37007874
1.67330256,-0.38325458,39.37007874
1.79795866,-0.39813482,39.37007874
1.91650582,-0.41059465,39.37007874
2.03008189,-0.42061083,39.37007874
2.13967347,-0.42826138,39.37007874
2.24618656,-0.43351415,39.37007874
