X_in,Y_in,Z_in
3.51287728,0.02834646,0.00000000
3.35780096,0.04970079,0.00000000
3.20160967,0.07388976,0.00000000
3.04032835,0.09902362,0.00000000
2.87264813,0.12491339,0.00000000
2.69711472,0.15118110,0.00000000
2.51207991,0.17754331,0.00000000
2.32045230,0.20296063,0.00000000
2.12867926,0.22615748,0.00000000
1.93971786,0.24661417,0.00000000
1.75400438,0.26423622,0.00000000
1.56974520,0.27916535,0.00000000
1.38567992,0.29149606,0.00000000
1.20142074,0.30122835,0.00000000
1.01662831,0.30840945,0.00000000
0.83183589,0.31308661,0.00000000
0.64791604,0.31511811,0.00000000
0.46709869,0.31464567,0.00000000
0.28967470,0.31181102,0.00000000
0.11840722,0.30585827,0.00000000
-0.09038108,0.29411436,0.00000000
-0.15000369,0.27879807,0.00000000
-0.35452417,0.26037681,0.00000000
-0.49667620,0.24204826,0.00000000
-0.63015635,0.21915841,0.00000000
-0.75409669,0.19207917,0.00000000
-0.86651877,0.15940651,0.00000000
-0.96599273,0.12263284,0.00000000
-1.04612606,0.08370331,0.00000000
-1.09726722,0.04909843,0.00000000
-1.12060341,0.02683870,0.00000000
-1.18110236,0.00000000,0.00000000
-1.13493432,0.01919665,0.00000000
-1.14193404,0.00556831,0.00000000
-1.11591692,-0.01595150,0.00000000
-1.05802526,-0.03958431,0.00000000
-0.97360427,-0.06215719,0.00000000
-0.87135227,-0.08053911,0.00000000
-0.75729365,-0.09522107,0.00000000
-0.63212090,-0.10648537,0.00000000
-0.49807820,-0.11529886,0.00000000
-0.35552587,-0.12182743,0.00000000
-0.15065834,-0.12866092,0.00000000
-0.09038108,-0.14141114,0.00000000
0.11840722,-0.14678740,0.00000000
0.28967470,-0.15023622,0.00000000
0.46709869,-0.15354331,0.00000000
0.64791604,-0.15590551,0.00000000
0.83183589,-0.15765354,0.00000000
1.01662831,-0.15859843,0.00000000
1.20142074,-0.15874016,0.00000000
1.38567992,-0.15807874,0.00000000
1.56974520,-0.15651969,0.00000000
1.75400438,-0.15401575,0.00000000
1.93971786,-0.15042520,0.00000000
2.12867926,-0.14546457,0.00000000
2.32045230,-0.13885039,0.00000000
2.51207991,-0.13029921,0.00000000
2.69711472,-0.11981102,0.00000000
2.87264813,-0.10733858,0.00000000
3.04032835,-0.09255118,0.00000000
3.20160967,-0.07530709,0.00000000
3.35780096,-0.05532283,0.00000000
3.51287728,-0.02976378,0.00000000
